model,seed,regime,k,zmid_m,sigma_T,sigma_S,rmse_T,rmse_S,floor_T,floor_S,n
A_CRPS,44,complement,5,18.554999609614015,1.301298114030644,0.2725293988606993,1.301298114030644,0.2725293988606993,False,False,383
A_CRPS,44,complement,6,24.894999514009285,1.3593252024148428,0.21120666437012375,1.3593252024148428,0.21120666437012375,False,False,383
A_CRPS,44,complement,7,32.329999450272794,1.4682933186004756,0.2020050992594995,1.4682933186004756,0.2020050992594995,False,False,383
A_CRPS,44,complement,8,40.329999450272794,1.572163924421552,0.1972311018013634,1.572163924421552,0.1972311018013634,False,False,383
A_CRPS,44,complement,9,48.329999450272794,1.5813207214945602,0.194321832343979,1.5813207214945602,0.194321832343979,False,False,383
A_CRPS,44,complement,10,56.329999450272794,1.5526199758721089,0.1943754442596384,1.5526199758721089,0.1943754442596384,False,False,383
A_CRPS,44,complement,11,64.3299994502728,1.5345174962680967,0.1924449705136089,1.5345174962680967,0.1924449705136089,False,False,383
A_CRPS,44,complement,12,72.3299994502728,1.5137565457284927,0.19129601109343444,1.5137565457284927,0.19129601109343444,False,False,383
A_CRPS,44,complement,13,80.3299994502728,1.4958584151960688,0.18900389754188143,1.4958584151960688,0.18900389754188143,False,False,383
A_CRPS,44,complement,14,88.3299994502728,1.4567164400548238,0.18061919571213383,1.4567164400548238,0.18061919571213383,False,False,383
A_CRPS,44,complement,15,96.3299994502728,1.4247621472020968,0.17892426934438654,1.4247621472020968,0.17892426934438654,False,False,383
A_CRPS,44,complement,16,104.3299994502728,1.3741828223240338,0.17890385895098695,1.3741828223240338,0.17890385895098695,False,False,383
A_CRPS,44,complement,17,112.41128312438389,1.3249488819601623,0.1746445203067289,1.3249488819601623,0.1746445203067289,False,False,383
A_CRPS,44,complement,18,124.0181019371289,1.2649084906026589,0.16885677754787318,1.2649084906026589,0.16885677754787318,False,False,383
A_CRPS,44,complement,19,138.33536150362164,1.1753766409084114,0.168995441612755,1.1753766409084114,0.168995441612755,False,False,383
A_CRPS,44,complement,20,157.18840503599694,1.0793756402361747,0.16672712538481999,1.0793756402361747,0.16672712538481999,False,False,383
A_CRPS,44,complement,21,198.628367477501,0.9824556581005988,0.14180101061992356,0.9824556581005988,0.14180101061992356,False,False,383
A_CRPS,44,complement,22,256.89684052475667,0.8677108411384197,0.1281422428955182,0.8677108411384197,0.1281422428955182,False,False,383
A_CRPS,44,complement,23,323.7307751056255,0.763023371206954,0.11584436781255632,0.763023371206954,0.11584436781255632,False,False,383
A_CRPS,44,complement,24,420.3034332854247,0.6543246285779727,0.0941487557571958,0.6543246285779727,0.0941487557571958,False,False,383
A_CRPS,44,complement,25,527.207848736849,0.5358195766237617,0.07017016052246168,0.5358195766237617,0.07017016052246168,False,False,383
A_CRPS,44,complement,26,625.15220607476,0.4043590399898053,0.046301943683598655,0.4043590399898053,0.046301943683598655,False,False,383
A_CRPS,44,complement,27,741.9911521140331,0.2987255984055136,0.026339199622886406,0.2987255984055136,0.026339199622886406,False,False,383
A_CRPS,44,complement,28,861.7602376512325,0.22220746496910995,0.02,0.22220746496910995,0.013242298457985144,False,True,383
A_CRPS,44,complement,29,962.4660312625703,0.1805044675506643,0.02,0.1805044675506643,0.011658215296598521,False,True,383
A_CRPS,44,complement,30,1061.8371484711388,0.1574854542280349,0.02,0.1574854542280349,0.011500971018674443,False,True,383
A_CRPS,44,complement,31,1192.2491621086228,0.12115548878222042,0.02,0.12115548878222042,0.010689041598645047,False,True,383
A_CRPS,44,complement,32,1963.265144121478,0.05,0.02,0.04100432515108567,0.010107767998149251,True,True,383
A_CRPS,44,complement,33,2791.480209178727,,,,,False,False,0
A_CRPS,44,complement,34,2927.8273667435824,,,,,False,False,0
A_CRPS,44,complement,35,2927.827385917402,,,,,False,False,0
A_CRPS,44,complement,36,2927.827385917402,,,,,False,False,0
A_CRPS,44,complement,37,2927.827385917402,,,,,False,False,0
A_CRPS,44,complement,38,2927.8273859174024,,,,,False,False,0
A_CRPS,44,complement,39,2927.8273859174024,,,,,False,False,0
A_CRPS,44,complement,40,2927.8273859174024,,,,,False,False,0
HeaveFast,42,all,0,0.5,1.0363639818254655,0.5621978764198459,1.0363639818254655,0.5621978764198459,False,False,623
HeaveFast,42,all,1,1.900000039835305,1.0345730243205984,0.5612200589792034,1.0345730243205984,0.5612200589792034,False,False,623
HeaveFast,42,all,2,4.420000051785896,1.0239274203049802,0.4974016380951802,1.0239274203049802,0.4974016380951802,False,False,623
