lon,lat,date,analysis_date,n_z_valid_T,dataset
-86.903831,28.056789,2025-04-03,20250403,41,qcobs_profile_orig
-94.790939,19.130501,2025-04-04,20250403,35,qcobs_profile_orig
-96.161324,20.299030,2025-04-04,20250403,34,qcobs_profile_orig
-89.428772,27.678600,2025-04-04,20250403,34,qcobs_profile_orig
-87.873810,26.736259,2025-04-04,20250403,41,qcobs_profile_orig
-86.978844,27.544451,2025-04-04,20250403,41,qcobs_profile_orig
-94.025650,20.735821,2025-04-04,20250403,41,qcobs_profile_orig
-89.213852,25.086040,2025-04-04,20250403,41,qcobs_profile_orig
-86.978561,27.510679,2025-04-04,20250403,38,qcobs_profile_orig
-86.568001,26.225100,2025-04-04,20250403,40,qcobs_profile_orig
-93.497673,24.238800,2025-04-05,20250403,41,qcobs_profile_orig
-94.821877,19.397261,2025-04-06,20250403,41,qcobs_profile_orig
-89.361603,28.130980,2025-04-06,20250403,32,qcobs_profile_orig
-81.625587,23.391230,2025-04-06,20250403,35,qcobs_profile_orig
-84.283333,24.064920,2025-04-06,20250403,41,qcobs_profile_orig
-91.513680,26.976690,2025-04-06,20250403,39,qcobs_profile_orig
-80.572762,23.765440,2025-04-06,20250403,30,qcobs_profile_orig
-84.028870,24.418760,2025-04-06,20250403,38,qcobs_profile_orig
-89.618492,27.387310,2025-04-07,20250403,40,qcobs_profile_orig
-84.726921,25.207451,2025-04-07,20250403,40,qcobs_profile_orig
-87.238800,26.170860,2025-04-07,20250403,41,qcobs_profile_orig
-88.070709,25.171539,2025-04-07,20250403,41,qcobs_profile_orig
-88.094223,25.666580,2025-04-07,20250403,41,qcobs_profile_orig
-96.173141,24.768280,2025-04-07,20250403,34,qcobs_profile_orig
-79.636742,19.538349,2025-04-07,20250403,41,qcobs_profile_orig
-93.465912,24.040649,2025-03-31,20250404,41,qcobs_profile_orig
-85.390007,19.714649,2025-03-31,20250404,41,qcobs_profile_orig
-95.113861,19.320589,2025-04-01,20250404,40,qcobs_profile_orig
-89.362167,28.120621,2025-04-01,20250404,32,qcobs_profile_orig
-84.490570,23.866730,2025-04-01,20250404,41,qcobs_profile_orig
-91.613564,26.723640,2025-04-01,20250404,41,qcobs_profile_orig
-80.583488,23.751329,2025-04-01,20250404,31,qcobs_profile_orig
-83.877792,23.994810,2025-04-01,20250404,40,qcobs_profile_orig
-89.521027,27.329439,2025-04-02,20250404,41,qcobs_profile_orig
-84.752151,25.399281,2025-04-02,20250404,40,qcobs_profile_orig
-87.054321,26.124020,2025-04-02,20250404,41,qcobs_profile_orig
-87.795303,25.239700,2025-04-02,20250404,41,qcobs_profile_orig
